system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
0,1,0,40,35.35999943315983,2.31999989785254,12.909999657422304,33.89999921992421,3.1499998923391104,2.389999970793724,-9999,0.9411612,6.411363786084318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.14772949432466,9.807176630588486]}"
1,2,0,40,23.119999434798956,11.7199997138232,12.149999657645822,38.82999880425632,2.9999999664723873,8.279999930411577,2.289999946951866,5.450471,2.3495029285129934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.7033329232707,9.785078074599149]}"
2,4,0,60,40.19999872148037,6.679999811574817,25.29999970085919,31.279999114573002,0.13999999687075615,2.9299998860806227,-9999,5.2725873,3.076025407207443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34526902530251,10.026006233800004]}"
3,3,0,40,16.17999976873398,49.22999868914485,12.92999953776598,19.759999595582485,3.389999896287918,5.259999822825193,-9999,1.8543341,4.123500093088572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.03902877066434,9.868890890607496]}"
4,3,0,10,25.649999467656016,11.439999718219042,17.32999975979328,33.089999275282025,12.449999839067459,7.13999979570508,2.2599999457597733,4.787466,6.411721124743636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.79981198478515,9.941654428621177]}"
5,2,0,10,38.579998852685094,15.289999701082706,16.829999655485153,33.699999349191785,1.3900000043213367,4.489999871701002,0.04999999701976776,2.0799391,4.008596955257953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.00786180458726,10.360449014077702]}"
6,3,0,80,14.97999957203865,22.85999965853989,9.119999723508954,50.21999874897301,10.589999688789248,5.769999846816063,2.729999929666519,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.27591451108663,9.573794319774237]}"
7,7,0,10,23.119999434798956,11.7199997138232,12.149999657645822,38.82999880425632,2.9999999664723873,8.279999930411577,2.289999946951866,0.940986,4.108964936947527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.78498978259717,9.745192875984237]}"
8,4,0,40,38.9899991825223,5.58999983407557,15.439999707043171,39.53999870084226,1.10999995470047,3.4799999110400677,0.12999999895691872,2.0790253,3.3158896252704078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.22534393487257,9.664075005828245]}"
9,8,0,10,39.9999991171062,20.099999414756894,16.949999507516623,28.579999282956123,1.3499999232590199,5.599999859929085,0.14000000059604645,2.9739149,4.056062285486885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.97201902475086,10.339158941844069]}"
